question,choice,answer
锅炉房、输煤系统粉尘浓度应不大于()mg/m 3 。,6| 4 | 5 |3,C
作业地点气温大于()℃时，应采取局部降温和综合防暑措施。,35 | 36 | 37 | 38,C
落差()m 以上的高处作业应使用相匹配的速差保护器。,6|3 | 5 | 4,C
当灭火器质量减轻10%或压力表指示低于()区域必须重新充装。,绿色|黄色|红色,A
梯子不得超过(　)ｍ，两节梯子梯长比为１:１，搭接长度不小于１．１５ｍ。,12|８|１０|6,C
安全带在使用前应进行检查，并定期每隔()个月进行静荷重试验和动载试验。,12|3|6|８,C
任何人员(包括参观、检查、实习人员)只要进入超过()dB(A)的区域，必须佩带上耳塞或护耳器。,94|91|88|85,D
严禁采用()或氧气吹扫积聚的煤粉及粉尘。,二氧化碳| 空气|蒸汽 |压缩空气,D
凡发现工作人员有()精神不振时，禁止登高作业。,饮酒|兴奋|感冒,A
已执行的工作票由各单位指定部门按编号顺序收存，至少保存( )个月。,6 |12|3,C
工作若不能按批准工期完成时，工作负责人必须提前()h向工作许可人申明理由，办理申请延期手续。,1 |1.5 |2|0.5,C
危险区域周围必须标识 ( ) 。,安全警示线|安全标志,B
对可能带电的电气设备以及发电机、电动机等着火，应使用 ( ) 灭火。,水| 泡沫灭火器|CO2灭火器,C
( ) 首先要使触电者迅速脱离电源，越快越好，因电流作用的时间越长，对人体伤害越重。,触电急救| 溺水急救|创伤急救,A
在高温环境工作时，应合理增加作业人员的工间 ( ) ，工作人员应穿透气、散热的棉质衣服。,休息时间|工作时间,A
各类作业人员有权拒绝违章指挥和( ) 。,强令加班|强令冒险作业|非本职工作,B
新录用的工作人员，须经过 ( ) 合格。符合电力生产人员健康要求。,文化考试|体格检查|安规考试,B
电气工器具应由专人保管，每()个月测量一次绝缘，绝缘不合格或电线破损的不应使用。,3 |12|6,C
新录用的工作人员应过体格检查合格。工作人员至少( )进行一次体格检查。,半年 |一年|两年,B
在无法搭设脚手架或无法安装栏杆的场所工作，高度超过 ( ) 时，必须使用安全带，或采取其他可靠的安全措施。,3M|1.5M|2.5M|2M,B
安全带的挂钩或绳子应挂在结实 ( )的构件上，或专为挂安全带用的钢丝绳上。,移动|松动|牢固|活动,C
胸外按压要以均匀的速度进行，每分钟 ( ) 次左右，每次按压和放松的时间相等。,80 |100|60,B
工作场所的井、坑、孔、洞或沟道，必须覆以( )的坚固的盖板。,与地面齐平|高出地面 |未要求|低于地面,A
生产人员调换岗位、因故间断工作连续 ( ) 以上者，必须学习本规程的有关部分，并经考试合格后方可上岗开始工作。,半年|三个月|一年,B
凡在离地面() 及以上的地点进行的工作，都应视作高处作业。,1m|2m|3m,B
在梯子上工作时，梯与地面的斜角度为60°左右。工作人员必须登在距梯顶不少于() 的梯蹬上工作。,1.5米|0.5米|1米,C
在电气设备上进行全部停电或部分停电工作时，应向设备()提出停电申请，由调度机构管辖的需事先向调度机构提出停电申请，同意后方可安排检修工作。,调度员|、运行维护单位|变电站值班员,B
调度值班员发布调度命令时，应和各单位值班人员()。,互通姓名并复诵|电话通知|互通姓名并复诵无误,C
任何电气设备在未验明无电之前，一律认为( 　)。,可能无|可能有电|无电 |有电,D
在工作间断期间，若有紧急需要，运行人员可在工作票未交回的情况下合闸送电，但应先通知工作负责人，在得到( )的答复后方可执行。,工作班全体人员已经离开工作地点、可以送电|设备无异常|已下令停止工作,A
许可工作时，工作许可人应和工作负责人在工作票上分别( )。,注明注意事项|签名|确认、签名|补充安全措施,C
( 　)是在电气设备上工作保证安全的组织措施之一。,工作票制度| 操作票制度|交接班制度,A
倒闸操作时要求操作( 　)应具有明显的标志，包括：命名、编号、分合指示、旋转方向、切换位置的指示及设备相色等。,间隔|机构|设备|系统,C
"作业人员的基本条件之一：经( 　 )鉴定,作业人员无妨碍工作的病症。",医师|医疗机构|专业机构|领导,A
装、拆接地线，应做好记录，(　)时应交待清楚。,许可|交接班|操作|巡视,B
工作票的字迹要填写工整、清楚、符合( 　 )的要求。,仿宋体|规程|印刷体|楷书,B
操作票填写完后，在空余部分(　 )栏内第一空格左侧盖“以下空白”章。,操作项目。|操作√|顺序项|指令项,A
戴绝缘手套进行操作时，应将外衣袖口(　)。,装入绝缘手套中|卷上去|怎么都行。|套在手套外面,A
接受倒闸操作命令时(　)。,要有监护人和操作人在场，由监护人接受|可由值班员接受。|可由变电站(所)长接受|只要监护人在场，操作人也可以接受,A
在原工作票的停电范围内增加工作任务时，应由工作负责人征得工作票签发人和(　)同意，并在工作票上增填工作项目。,值班调度员|运行值班负责人|工作许可人,C
在未办理工作票终结手续以前，任何人员不准将停电设备(　)。,措施拆除|措施变更|合闸送电|接地线拆除,C
在变电站户外和高压室内搬动梯子、管子等长物，应(　)，并与带电部分保持足够的安全距离。,一个直立搬运| 放倒后搬运|两人直立搬运 |倾斜搬运,B
停电拉闸操作(　)断路器(开关)—负荷侧隔离开关(刀闸)－电源侧隔离开关(刀闸)的顺序依次进行，送电合闸操作应按与上述相反的顺序进行。,必须遵循|必须按照|应按照|应遵循,C
操作票由(　 )填用，每张票填写一个操作任务。,工作许可人|工作负责人| 值班长| 操作人员,D
受令人接令后，应( 　)无误后执行。,复诵 | 记录| 填写|检查,A
不可在可燃气体存在处使用电动工器具，电动工器具受潮后，应测量绝缘合格后方可使用；特别潮湿的地方或金属容器内使用电压因为()V。,12|24|36|20,A
禁止与工作无关的人员在运煤皮带的通廊及各种( )设备的室内通行或逗留。,检修|有关|运行,B
新录用的工作人员应过体格检查合格。工作人员至少( )进行一次体格检查。,半年 |一年|两年,B
在检修工作中如需将盖板取下，必须装设牢固的 ( ) 和明显的“当心坑洞、当心坠落”等安全警示标示牌。,硬质围栏|临时围栏|警示绳,A
在梯子上工作时，梯与地面的斜角度为60°左右。工作人员必须登在距梯顶不少于() 的梯蹬上工作。,1.5米|0.5米|1米,C
在计算机显示屏上操作的 ( )操作处，应设置“禁止合闸，有人工作！”或“禁止合闸，线路有人工作！”的标记。,隔离开关| 母线闸刀|接地刀闸|断路器,A
雨雪天气时不得进行室外( )。,直接验电|验电|间接验电,A
在室外构架上工作，在邻近其他可能误登的带电架构上，应悬挂( 　 )的标示牌。,“从此上下！”|“禁止攀登，高压危险！”|“止步，高压危险！”,B
装、拆接地线均应使用绝缘棒和戴(　),绝缘手套|工作手套|白手套|线手套,A
绝缘杆的试验周期为(　),一年|三年|半年|两年,A
绝缘手套的试验周期为(　),半年|一年|两年|三个月,A
绝缘靴的试验周期为(　),三个月|两年|半年|一年,C
工作结束时间应由(　)填写。,值班负责人|工作票签发人|工作许可人|工作负责人,D
装设接地线时，应( 　)装接地端，( 　)装接导体端，接地线应接触良好，连接可靠。拆除接地线的顺序与此相反。,一人、一人 |先、后|后、先 | 两人、两人,B
验电( 　 )，验电器应先在有电设备上确证验电器良好。,期间|后 |中| 前,D
装设接地线时，人体(　)碰触未接地的导线。,视情况可|允许|严禁 |不应,D
可能送电至停电设备的(　)都应接地。,送电侧 |各侧|受电侧| 一侧,B
成套接地线应由有(　)的多股软铜线和专用线夹组成，接地线截面积不应小于25mm2，并应满足装设地点短路电流的要求。,外壳|保护膜| 透明护套| 保护外壳,C
若室外只有个别地点设备带电，可在其四周装设全封闭遮栏，遮栏上悬挂适当数量朝向外面的()标示牌。,“禁止合闸，有人工作！”|“禁止攀登”|“止步，高压危险！”|“在此工作！”,C
在电气设备上工作，应有停电、验电、装设接地线、悬挂标示牌和装设遮栏(围栏)等保证安全的( )措施。,技术| 保障 |组织| 安全,A
在一经合闸即可送电到工作地点的隔离开关( 　 )，应悬挂“禁止合闸，有人工作!”或“禁止合闸，线路有人工作!”的标示牌。,傍|机构上| 上 | 操作把手上,D
工作人员( 　 )擅自移动或拆除遮栏、标示牌。,视情况可|不应| 允许|严禁,D
安全组织措施作为保证安全的制度措施之一，包括工作票、工作的许可、监护、间断、转移和终结等。工作票签发人、工作负责人(监护人)、工作许可人、( 　 )监护人和工作班成员在整个作业流程中应履行各自的安全职责。,专业 |专责 | 专职|专工,B
依据国标《电力安全工作规程(发电厂和变电站电气部分)》规定:大于表格中设备不停电时的安全距离的相关场所和带电设备外壳上的工作以及(　)，填用电气第二种工作票。,带电作业| 可能触及带电设备导电部分的工作| 二次接线回路上的工作，无需将高压设备停电者|不可能触及带电设备导电部分的工作,D
工作许可后，工作负责人、专责监护人应向工作班成员交待工作内容和现场安全措施。工作班成员(　)方可开始工作。,检查好安全措施的布置后|履行确认手续后| 熟悉工作流程后 | 了解后,B
非连续进行的事故修复工作应使用(　)。,操作票|事故检修单 |工作票|电气带电作业工作票,C
10kV及以下设备不停电时的安全距离为：(　),1.0m| 0.5m |0.35m| 0.7m,D
在发现直接危及(　)安全的紧急情况时，现场负责人有权停止作业并组织人员撤离作业现场。,电网|设备|人身| 操作,C
在电气设备上工作应有保证( 　)的制度措施，可包含工作申请、工作布置、书面安全要求、工作许可、工作监护，以及工作间断、转移和终结等工作程序。,安全| 技术|施工质量 | 工期,A
经常有人工作的(　)宜配备急救箱，存放急救用品，并制定专人检查、补充或更换。,休息室|场所及施工车辆上| 作业现场|宿舍,B
经常有人工作的场所及施工车辆上宜配备急救箱，存放急救用品，并应指定()经常检查、补充或更换。,专人|值班员|安全员|站长,A
在发现直接危及人身安全的紧急情况时，(　)有权停止作业并组织人员撤离作业现场。,有关领导|现场负责人|现场运行人员|各类作业人员,B
依据国标《电力安全工作规程(发电厂和变电站电气部分)》规定:(　)指能关合、承载、开断运行回路正常电流，也能在规定时间内关合、承载及开断规定的过载电流(包括短路电流)的开关设备，也称开关。,断路器 |变电站|熔断器|隔离开关,A
低[电]压指用于配电的交流系统中( )其以下的电压等级。,250V以下| 1000V及其以上|1000V及其以下|250V及其以下,C
隔离开关是指在分位置时，触头间有符合规定要求的绝缘距离和明显的断开标志；在合位置时，能承载正常回路条件下的电流及在规定时间内()的开关设备。,负荷电流|异常条件(例如短路)下的电流 |异常条件(例如短路)下的电压 | 天气恶劣条件下的电流,B
装设接地线(　)单人进行。,必须|不宜|严禁,C
装设接地线应先接接地端，后接导体端，接地线应接触良好，连接应可靠。拆接地线的顺序与此(　)。,过程|相反|一样|工作,B
电气工作人员要学会紧急救护法，特别要学会()。,创伤急救|七会|心肺复苏法|触电急救,D
"(),各级领导必须以身作则，要充分发动群众，依靠群众；要发挥安全监察机构和群众性的安全组织的作用，严格监督《电业安全工作规程》的贯彻执行。",安全第一，预防为主|谁主管，谁负责|安全生产，人人有责|管生产必须管安全,A
检修工作开始以前，(　　)和工作负责人应共同到现场检查安全措施确已正确地执行，然后在工作票上签字，才允许开始工作。,工作班成员|工作签发人|工作许可人|运行值班人员,C
参加灭火的人员在灭火时应防止被火烧伤或被燃烧物所产生的气体引起中毒、窒息以及防止引起爆炸。电气设备上灭火时还应防止()。,烧伤|设备损坏|爆炸|触电,D
上下梯子时应面部朝内，严禁手拿工具或器材上下，在梯子上工作应备()。,安全帽|安全带|安全绳|工具袋,D
油漆、喷漆等工作场所严禁烟火，周围()内严禁明火作业。,5m|8m|10m|15m,A
消防砂箱、消防桶和消防铲、斧把上应涂()。,黑色|绿色|黄色|红色,D
